,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
104,Aryan Juyal,India,Mumbai Indians,Wicket-Keeper,2000000,19944.0
105,Rahul Buddhi,India,Mumbai Indians,Batsman,2000000,19944.0
106,Hrithik Shokeen,India,Mumbai Indians,All-Rounder,2000000,19944.0
107,Mohd. Arshad Khan,India,Mumbai Indians,All-Rounder,2000000,19944.0
108,Liam Livingstone,England,Punjab Kings,All-Rounder,115000000,1146780.0
109,Kagiso Rabada,South Africa,Punjab Kings,Bowler,92500000,922410.0
110,Shahrukh Khan,India,Punjab Kings,All-Rounder,90000000,897480.0
111,Shikhar Dhawan,India,Punjab Kings,Batsman,82500000,822690.0
112,Jonny Bairstow,England,Punjab Kings,Wicket-Keeper,67500000,673110.0
113,Rahul Chahar,India,Punjab Kings,Bowler,52500000,523530.0
114,Harpreet Brar,India,Punjab Kings,All-Rounder,38000000,378936.0
115,Raj Angad Bawa,India,Punjab Kings,All-Rounder,20000000,199440.0
116,Nathan Ellis,Australia,Punjab Kings,Bowler,7500000,74790.0
117,Prabhsimran Singh,India,Punjab Kings,Wicket-Keeper,6000000,59832.0
118,Rishi Dhawan,India,Punjab Kings,All-Rounder,5500000,54846.0
119,Sandeep Sharma,India,Punjab Kings,Bowler,5000000,49860.0
120,Bhanuka Rajapaksa,Sri Lanka,Punjab Kings,Batsman,5000000,49860.0
121,Benny Howell,England,Punjab Kings,All-Rounder,4000000,39888.0
122,Ishan Porel,India,Punjab Kings,Bowler,2500000,24930.0
123,Jitesh Sharma,India,Punjab Kings,Wicket-Keeper,2000000,19944.0
124,Atharva Taide,India,Punjab Kings,All-Rounder,2000000,19944.0
125,Writtick Chatterjee,India,Punjab Kings,All-Rounder,2000000,19944.0
126,Baltej Dhanda,India,Punjab Kings,Bowler,2000000,19944.0
127,Ansh Patel,India,Punjab Kings,All-Rounder,2000000,19944.0
128,Prasidh Krishna,India,Rajasthan Royals,Bowler,100000000,997200.0
129,Shimron Hetmyer,West Indies,Rajasthan Royals,Batsman,85000000,847620.0
130,Trent Boult,New Zealand,Rajasthan Royals,Bowler,80000000,797760.0
131,Devdutt Padikkal,India,Rajasthan Royals,Batsman,77500000,772830.0
132,Yuzvendra Chahal,India,Rajasthan Royals,Bowler,65000000,648180.0
133,R. Ashwin,India,Rajasthan Royals,All-Rounder,50000000,498600.0
134,Riyan Parag,India,Rajasthan Royals,All-Rounder,38000000,378936.0
135,Navdeep Saini,India,Rajasthan Royals,Bowler,26000000,259272.0
136,Nathan Coulter-Nile,Australia,Rajasthan Royals,Bowler,20000000,199440.0
137,James Neesham,New Zealand,Rajasthan Royals,All-Rounder,15000000,149580.0
138,Karun Nair,India,Rajasthan Royals,Batsman,14000000,139608.0
139,Rassie Van Der Dussen,South Africa,Rajasthan Royals,Batsman,10000000,99720.0
140,Daryl Mitchell,New Zealand,Rajasthan Royals,All-Rounder,7500000,74790.0
141,Obed McCoy,West Indies,Rajasthan Royals,Bowler,7500000,74790.0
142,K.C Cariappa,India,Rajasthan Royals,Bowler,3000000,29916.0
143,Kuldeep Sen,India,Rajasthan Royals,Bowler,2000000,19944.0
144,Dhruv Jurel,India,Rajasthan Royals,Wicket-Keeper,2000000,19944.0
145,Tejas Baroka,India,Rajasthan Royals,Bowler,2000000,19944.0
146,Kuldip Yadav,India,Rajasthan Royals,Bowler,2000000,19944.0
147,Shubham Garhwal,India,Rajasthan Royals,All-Rounder,2000000,19944.0
148,Anunay Singh,India,Rajasthan Royals,All-Rounder,2000000,19944.0
149,Wanindu Hasaranga,Sri Lanka,Royal Challengers Bangalore,All-Rounder,107500000,1071990.0
150,Harshal Patel,India,Royal Challengers Bangalore,All-Rounder,107500000,1071990.0
151,Josh Hazlewood,Australia,Royal Challengers Bangalore,Bowler,77500000,772830.0
152,Faf Du Plessis,South Africa,Royal Challengers Bangalore,Batsman,70000000,698040.0
153,Dinesh Karthik,India,Royal Challengers Bangalore,Wicket-Keeper,55000000,548460.0
154,Anuj Rawat,India,Royal Challengers Bangalore,Wicket-Keeper,34000000,339048.0
155,Shahbaz Ahamad,India,Royal Challengers Bangalore,All-Rounder,24000000,239328.0
156,David Willey,England,Royal Challengers Bangalore,All-Rounder,20000000,199440.0
157,Sherfane Rutherford,West Indies,Royal Challengers Bangalore,All-Rounder,10000000,99720.0
158,Mahipal Lomror,India,Royal Challengers Bangalore,All-Rounder,9500000,94734.0
159,Finn Allen,New Zealand,Royal Challengers Bangalore,Batsman,8000000,79776.0
160,Jason Behrendorff,Australia,Royal Challengers Bangalore,Bowler,7500000,74790.0
161,Siddharth Kaul,India,Royal Challengers Bangalore,Bowler,7500000,74790.0
162,Karn Sharma,India,Royal Challengers Bangalore,Bowler,5000000,49860.0
163,Suyash Prabhudessai,India,Royal Challengers Bangalore,All-Rounder,3000000,29916.0
164,Chama Milind,India,Royal Challengers Bangalore,Bowler,2500000,24930.0
165,Akash Deep,India,Royal Challengers Bangalore,Bowler,2000000,19944.0
166,Luvnith Sisodia,India,Royal Challengers Bangalore,Wicket-Keeper,2000000,19944.0
167,Aneeshwar Gautam,India,Royal Challengers Bangalore,All-Rounder,2000000,19944.0
168,Washington Sundar,India,Sunrisers Hyderabad,All-Rounder,87500000,872550.0
169,Rahul Tripathi,India,Sunrisers Hyderabad,Batsman,85000000,847620.0
170,Abhishek Sharma,India,Sunrisers Hyderabad,All-Rounder,65000000,648180.0
171,Bhuvneshwar Kumar,India,Sunrisers Hyderabad,Bowler,42000000,418824.0
172,Marco Jansen,South Africa,Sunrisers Hyderabad,All-Rounder,42000000,418824.0
173,T. Natarajan,India,Sunrisers Hyderabad,Bowler,40000000,398880.0
174,Kartik Tyagi,India,Sunrisers Hyderabad,Bowler,40000000,398880.0
175,Aiden Markram,South Africa,Sunrisers Hyderabad,Batsman,26000000,259272.0
176,Sean Abbott,Australia,Sunrisers Hyderabad,Bowler,24000000,239328.0
177,Glenn Phillips,New Zealand,Sunrisers Hyderabad,Wicket-Keeper,15000000,149580.0
178,Shreyas Gopal,India,Sunrisers Hyderabad,Bowler,7500000,74790.0
179,Fazalhaq Farooqi,Afghanistan,Sunrisers Hyderabad,Bowler,5000000,49860.0
180,Priyam Garg,India,Sunrisers Hyderabad,Batsman,2000000,19944.0
181,Jagadeesha Suchith,India,Sunrisers Hyderabad,Bowler,2000000,19944.0
182,R Samarth,India,Sunrisers Hyderabad,Batsman,2000000,19944.0
183,Shashank Singh,India,Sunrisers Hyderabad,All-Rounder,2000000,19944.0
184,Saurabh Dubey,India,Sunrisers Hyderabad,Bowler,2000000,19944.0
185,Suresh Raina,India,Unsold,Batsman,20000000,199440.0
186,Steve Smith,Australia,Unsold,Batsman,20000000,199440.0
187,Imran Tahir,South Africa,Unsold,Bowler,20000000,199440.0
188,Mujeeb Zadran,Afghanistan,Unsold,Bowler,20000000,199440.0
