,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
189,James Vince,England,Unsold,Batsman,20000000,199440.0
190,Marchant De Lange,South Africa,Unsold,Bowler,20000000,199440.0
191,Saqib Mahmood,England,Unsold,Bowler,20000000,199440.0
192,Ashton Agar,Australia,Unsold,All-Rounder,20000000,199440.0
193,Craig Overton,England,Unsold,All-Rounder,20000000,199440.0
194,Aaron Finch,Australia,Unsold,Batsman,15000000,149580.0
195,Dawid Malan,England,Unsold,Batsman,15000000,149580.0
196,Eoin Morgan,England,Unsold,Batsman,15000000,149580.0
197,Chris Lynn,Australia,Unsold,Batsman,15000000,149580.0
198,Usman Khawaja,Australia,Unsold,Batsman,15000000,149580.0
199,Lewis Gregory,England,Unsold,All-Rounder,15000000,149580.0
200,Kane Richardson,Australia,Unsold,Bowler,15000000,149580.0
201,Colin Munro,New Zealand,Unsold,All-Rounder,15000000,149580.0
202,Marnus Labuschagne,Australia,Unsold,Batsman,10000000,99720.0
203,Tabraiz Shamsi,South Africa,Unsold,Bowler,10000000,99720.0
204,Joshua Philippe,Australia,Unsold,Wicket-Keeper,10000000,99720.0
205,Andrew Tye,Australia,Unsold,Bowler,10000000,99720.0
206,Roston Chase,West Indies,Unsold,All-Rounder,10000000,99720.0
207,Moises Henriques,Australia,Unsold,All-Rounder,10000000,99720.0
208,Kedar Jadhav,India,Unsold,All-Rounder,10000000,99720.0
209,Colin De Grandhomme,New Zealand,Unsold,All-Rounder,10000000,99720.0
210,James Faulkner,Australia,Unsold,All-Rounder,10000000,99720.0
211,D'Arcy Short,Australia,Unsold,All-Rounder,10000000,99720.0
212,Sheldon Cottrell,West Indies,Unsold,Bowler,7500000,74790.0
213,Todd Astle,New Zealand,Unsold,Bowler,7500000,74790.0
214,Martin Guptill,New Zealand,Unsold,Batsman,7500000,74790.0
215,Ben Cutting,Australia,Unsold,All-Rounder,7500000,74790.0
216,Scott Kuggeleijn,New Zealand,Unsold,All-Rounder,7500000,74790.0
217,Dhawal Kulkarni,India,Unsold,Bowler,7500000,74790.0
218,Darren Bravo,West Indies,Unsold,Batsman,7500000,74790.0
219,Carlos Brathwaite,West Indies,Unsold,All-Rounder,7500000,74790.0
220,Keemo Paul,West Indies,Unsold,All-Rounder,7500000,74790.0
221,Billy Stanlake,Australia,Unsold,Bowler,7500000,74790.0
222,Cheteshwar Pujara,India,Unsold,Batsman,5000000,49860.0
223,Saurabh Tiwary,India,Unsold,Batsman,5000000,49860.0
224,Qais Ahmad,Afghanistan,Unsold,Bowler,5000000,49860.0
225,Ish Sodhi,New Zealand,Unsold,Bowler,5000000,49860.0
226,Najibullah Zadran,Afghanistan,Unsold,Batsman,5000000,49860.0
227,Charith Asalanka,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
228,George Garton,England,Unsold,All-Rounder,5000000,49860.0
229,Niroshan Dickwella,Sri Lanka,Unsold,Wicket-Keeper,5000000,49860.0
230,Andre Fletcher,West Indies,Unsold,Wicket-Keeper,5000000,49860.0
231,Rahmanullah Gurbaz,Afghanistan,Unsold,Wicket-Keeper,5000000,49860.0
232,Shai Hope,West Indies,Unsold,Wicket-Keeper,5000000,49860.0
233,Ben Mcdermott,Australia,Unsold,Wicket-Keeper,5000000,49860.0
234,Kusal Mendis,Sri Lanka,Unsold,Wicket-Keeper,5000000,49860.0
235,Kusal Perera,Sri Lanka,Unsold,Wicket-Keeper,5000000,49860.0
236,Sandeep Warrier,India,Unsold,Bowler,5000000,49860.0
237,Akila Dhananjaya,Sri Lanka,Unsold,Bowler,5000000,49860.0
238,Zahir Khan,Afghanistan,Unsold,Bowler,5000000,49860.0
239,Keshav Maharaj,South Africa,Unsold,Bowler,5000000,49860.0
240,Waqar Salamkheil,Afghanistan,Unsold,Bowler,5000000,49860.0
241,Rahul Sharma,India,Unsold,Bowler,5000000,49860.0
242,Hayden Walsh,West Indies,Unsold,Bowler,5000000,49860.0
243,Brandon King,West Indies,Unsold,Batsman,5000000,49860.0
244,Janneman Malan,South Africa,Unsold,Batsman,5000000,49860.0
