,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds,Bat_Inns_21_22,NOs_21_22,Run_21_22,HS_21,HS_22,Bat_Avg_21_22,BF_21_22,BatSR_21_22,100s_21_22,50s_21_22,4s_21_22,6s_21_22,Bowl_Inns_21_22,Ov_21_22,BowlRunsConc_21_22,Wkts_21_22,Bowl_Avg_21_22,Econ_21_22,BowlSR_21_22,4w_21_22,5w_21_22,Dots_21_22,Catches_21_22,Run outs,Stumpings_21_22
10,Devon Conway,New Zealand,Chennai Super Kings,Batsman,10000000,99720.0,0.0,1.0,252.0,0.0,87.0,36.0,173.0,145.66473988439307,0.0,3.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0
11,Maheesh Theekshana,Sri Lanka,Chennai Super Kings,Bowler,7000000,69804.0,0.0,1.0,7.0,0.0,7.0,3.5,7.0,100.0,0.0,0.0,0.0,1.0,9.0,35.0,261.0,12.0,21.75,7.457142857142857,17.5,1.0,0.0,68.0,0.0,0.0,0.0
12,Dwaine Pretorius,South Africa,Chennai Super Kings,All-Rounder,5000000,49860.0,0.0,1.0,44.0,0.0,22.0,8.8,28.0,157.14285714285714,0.0,0.0,3.0,3.0,6.0,21.0,210.0,6.0,35.0,10.0,21.0,0.0,0.0,37.0,2.0,1.5,0.0
13,C.Hari Nishaanth,India,Chennai Super Kings,Batsman,2000000,19944.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tushar Deshpande,India,Chennai Super Kings,Bowler,2000000,19944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,63.0,1.0,63.0,9.0,42.0,0.0,0.0,18.0,1.0,0.0,0.0
15,Simarjeet Singh,India,Chennai Super Kings,Bowler,2000000,19944.0,0.0,2.0,7.0,0.0,3.0,2.3333333333333335,8.0,87.5,0.0,0.0,0.0,0.0,6.0,18.0,138.0,4.0,34.5,7.666666666666667,27.0,0.0,0.0,57.0,1.0,0.0,0.0
16,Subhranshu Senapati,India,Chennai Super Kings,Batsman,2000000,19944.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mukesh Choudhary,India,Chennai Super Kings,Bowler,2000000,19944.0,0.0,1.0,6.0,0.0,4.0,3.0,6.0,100.0,0.0,0.0,1.0,0.0,13.0,45.3,424.0,16.0,26.5,9.359823399558499,16.987499999999997,1.0,0.0,119.0,3.0,0.0,0.0
18,K.Bhagath Varma,India,Chennai Super Kings,All-Rounder,2000000,19944.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,Shardul Thakur,India,Delhi Capitals,Bowler,107500000,1071990.0,8.0,4.0,125.0,3.0,29.0,8.928571428571429,92.0,135.8695652173913,0.0,0.0,7.0,7.0,30.0,108.2,1000.0,36.0,27.77777777777778,9.242144177449168,18.033333333333335,1.0,0.0,246.0,9.0,0.0,0.0
20,Mitchell Marsh,Australia,Delhi Capitals,All-Rounder,65000000,648180.0,0.0,0.0,251.0,0.0,89.0,31.375,189.0,132.8042328042328,0.0,2.0,19.0,14.0,4.0,12.0,102.0,4.0,25.5,8.5,18.0,0.0,0.0,25.0,0.0,0.0,0.0
21,David Warner,Australia,Delhi Capitals,Batsman,62500000,623250.0,16.0,3.0,627.0,57.0,92.0,31.35,468.0,133.97435897435898,0.0,7.0,67.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
